url,nat,cap
/titanic-survivor/dagmar-bryhl.html,Swedish,Stockholm
/titanic-survivor/karolina-bystrom.html,Swedish,Stockholm
/titanic-victim/ingvar-enander.html,Swedish,Stockholm
/titanic-victim/johan-henrik-johannesson-kvillner.html,Swedish,Stockholm
/titanic-victim/ernst-adolf-sjostedt.html,Swedish,Stockholm
/titanic-victim/mauritz-adahl.html,Swedish,Stockholm
/titanic-victim/johanna-persdotter-ahlin.html,Swedish,Stockholm
/titanic-victim/alfrida-konstantia-brogren-andersson.html,Swedish,Stockholm
/titanic-victim/sigrid-elisabeth-andersson.html,Swedish,Stockholm
/titanic-victim/ida-augusta-margareta-andersson.html,Swedish,Stockholm
/titanic-victim/sigvard-harald-elias-andersson.html,Swedish,Stockholm
/titanic-victim/ingeborg-constanzia-andersson.html,Swedish,Stockholm
/titanic-victim/anders-andersson.html,Swedish,Stockholm
/titanic-victim/johan-samuel-andersson.html,Swedish,Stockholm
/titanic-victim/ellis-anna-maria-andersson.html,Swedish,Stockholm
/titanic-victim/ebba-iris-alfrida-andersson.html,Swedish,Stockholm
/titanic-victim/paul-edvin-andreasson.html,Swedish,Stockholm
/titanic-victim/ernst-axel-algot-aronsson.html,Swedish,Stockholm
/titanic-survivor/selma-augusta-emilia-asplund.html,Swedish,Stockholm
/titanic-survivor/johan-charles-asplund.html,Swedish,Stockholm
/titanic-victim/filip-oscar-asplund.html,Swedish,Stockholm
/titanic-victim/carl-edgar-asplund.html,Swedish,Stockholm
/titanic-victim/carl-asplund.html,Swedish,Stockholm
/titanic-survivor/edvin-rojj-felix-asplund.html,Swedish,Stockholm
/titanic-victim/clarence-gustaf-hugo-asplund.html,Swedish,Stockholm
/titanic-victim/albert-augustsson.html,Swedish,Stockholm
/titanic-victim/johan-viktor-bengtsson.html,Swedish,Stockholm
/titanic-victim/ernst-herbert-bjorklund.html,Swedish,Stockholm
/titanic-victim/elin-ester-maria-braf.html,Swedish,Stockholm
/titanic-victim/karl-rudolf-brobeck.html,Swedish,Stockholm
/titanic-victim/august-sigfrid-carlsson.html,Swedish,Stockholm
/titanic-victim/gerda-ulrika-dahlberg.html,Swedish,Stockholm
/titanic-victim/anna-sigrid-maria-danbom.html,Swedish,Stockholm
/titanic-victim/gilbert-sigvard-emanuel-danbom.html,Swedish,Stockholm
/titanic-victim/gustaf-hjalmar-edvardsson.html,Swedish,Stockholm
/titanic-victim/hans-linus-eklund.html,Swedish,Stockholm
/titanic-victim/johan-ekstrom.html,Swedish,Stockholm
/titanic-victim/eberhard-fischer.html,Swedish,Stockholm
/titanic-victim/karl-gideon-gustafsson.html,Swedish,Stockholm
/titanic-survivor/oskar-arvid-hedman.html,Swedish,Stockholm
